spec,series,pins,positions,skuLink,light,size,imageId
KCD5双联船型开关 黑色无灯 4脚2档 铜脚(1个),KCD5,4,2,https://detail.tmall.com/item.htm?id=41210111230&skuId=4919743109582,无灯,24*21mm,4919743109582
KCD5船型开关 黑色无灯 4脚2档 铜脚(1个),KCD5,4,2,https://detail.tmall.com/item.htm?id=41210111230&skuId=4919743109580,无灯,24*21mm,4919743109580
KCD5船型开关 黑色无灯 6脚3档 铜脚(1个),KCD5,6,3,https://detail.tmall.com/item.htm?id=41210111230&skuId=4919743109581,无灯,24*21mm,4919743109581
KCD2 黑色无灯 6脚2档 铜脚（1个）,KCD2,6,2,https://detail.tmall.com/item.htm?id=41210111230&skuId=4919743109586,无灯,24*21mm,4919743109586
KCD2 2X2 六脚3档黑色无灯 防水(1个),KCD2,6,3,https://detail.tmall.com/item.htm?id=41210111230&skuId=4919743109555,无灯,38*28.8mm,4919743109555
KCD4 不锈钢面板 银触点 20A 红色带灯 4脚2档（1个）,KCD4,4,2,https://detail.tmall.com/item.htm?id=41210111230&skuId=4919743109721,带灯,38*28.8mm,4919743109721
KCD4 不锈钢面板 银触点 20A 蓝色带灯 4脚2档（1个）,KCD4,4,2,https://detail.tmall.com/item.htm?id=41210111230&skuId=4919743109722,带灯,38*28.8mm,4919743109722
KCD4 不锈钢面板 银触点 20A 黄色带灯 4脚2档（1个）,KCD4,4,2,https://detail.tmall.com/item.htm?id=41210111230&skuId=4919743109723,带灯,38*28.8mm,4919743109723
KCD4 不锈钢面板 银触点 20A 绿色带灯 4脚2档（1个）,KCD4,4,2,https://detail.tmall.com/item.htm?id=41210111230&skuId=4919743109724,带灯,38*28.8mm,4919743109724
KCD7椭圆 2脚2档 黑色无灯（2个）,KCD7,2,2,https://detail.tmall.com/item.htm?id=41210111230&skuId=4919743109688,无灯,25*16mm,4919743109688
KCD7椭圆 2脚2档 红色无灯（2个）,KCD7,2,2,https://detail.tmall.com/item.htm?id=41210111230&skuId=4919743109690,无灯,25*16mm,4919743109690
KCD7椭圆 3脚2档 红色带灯（1个）,KCD7,3,2,https://detail.tmall.com/item.htm?id=41210111230&skuId=4919743109687,带灯,25*16mm,4919743109687
KCD7椭圆 3脚3档 黑色无灯（1个）,KCD7,3,3,https://detail.tmall.com/item.htm?id=41210111230&skuId=4919743109689,无灯,25*16mm,4919743109689
KCD3-2X1N 3脚2档 黑色 防水(1个),KCD3,3,2,https://detail.tmall.com/item.htm?id=41210111230&skuId=4919743109552,带灯,34.5*17.4mm,4919743109552
KCD3-2X1N 3脚2档 红色带灯 防水(1个),KCD3,3,2,https://detail.tmall.com/item.htm?id=41210111230&skuId=4919743109553,带灯,34.5*17.4mm,4919743109553
KCD3-2X1N 3脚2档 绿色带灯 防水(1个),KCD3,3,2,https://detail.tmall.com/item.htm?id=41210111230&skuId=4919743109554,带灯,34.5*17.4mm,4919743109554
防水KCD1 银触点 黑色无灯 2脚2档 防水(1个),KCD1,2,2,https://detail.tmall.com/item.htm?id=41210111230&skuId=4919743109556,无灯,22.6*16.8mm,4919743109556
防水KCD1银触点 红色带灯 3脚2档(1个),KCD1,3,2,https://detail.tmall.com/item.htm?id=41210111230&skuId=4919743109557,带灯,22.6*16.8mm,4919743109557
防水KCD1 银触点 绿色带灯 3脚2档 防水(1个),KCD1,3,2,https://detail.tmall.com/item.htm?id=41210111230&skuId=4919743109558,带灯,22.6*16.8mm,4919743109558
防水KCD4 银触点 红色带灯 6脚3档(1个),KCD4,6,3,https://detail.tmall.com/item.htm?id=41210111230&skuId=4919743109709,带灯,22.6*16.8mm,4919743109709
防水KCD4 银触点 绿色带灯 6脚3档(1个),KCD4,6,3,https://detail.tmall.com/item.htm?id=41210111230&skuId=4919743109710,带灯,22.6*16.8mm,4919743109710
防水KCD1 银触点 黑色无灯 2脚2档 圆型(1个),KCD1,2,2,https://detail.tmall.com/item.htm?id=41210111230&skuId=4919743109567,无灯,22.6*16.8mm,4919743109567
红色带灯三脚两档KCD1 6A 250V 防水 圆型(1个),KCD1,3,2,https://detail.tmall.com/item.htm?id=41210111230&skuId=4919743109559,带灯,23mm,4919743109559
绿色带灯三脚两档KCD1 6A 250V 防水  圆型(1个),KCD1,3,2,https://detail.tmall.com/item.htm?id=41210111230&skuId=4919743109560,带灯,23mm,4919743109560
KCD4-2X1N 4脚2档红色带灯四脚 防水(1个),KCD4,4,2,https://detail.tmall.com/item.htm?id=41210111230&skuId=4919743109561,带灯,37*28mm,4919743109561
KCD4-2X1N 4脚2档 绿色带灯四脚 防水(1个),KCD4,4,2,https://detail.tmall.com/item.htm?id=41210111230&skuId=4919743109562,带灯,37*28mm,4919743109562
KCD4-2X2N六脚2档 红色带灯 防水(1个),KCD4,6,2,https://detail.tmall.com/item.htm?id=41210111230&skuId=4919743109564,带灯,36*29mm,4919743109564
KCD4-2X2N六脚2档绿色带灯 防水(1个),KCD4,6,2,https://detail.tmall.com/item.htm?id=41210111230&skuId=4919743109565,带灯,36*29mm,4919743109565
KCD4-2X2N六脚2档 黑色 防水(1个),KCD4,6,2,https://detail.tmall.com/item.htm?id=41210111230&skuId=4919743109566,无灯,36*29mm,4919743109566
KCD4 银触点 蓝色带灯 4脚2档(1个),KCD4,4,2,https://detail.tmall.com/item.htm?id=41210111230&skuId=4919743109568,带灯,38*28.8mm,4919743109568
KCD4 银触点 黄色带灯 4脚2档(1个),KCD4,4,2,https://detail.tmall.com/item.htm?id=41210111230&skuId=4919743109569,带灯,38*28.8mm,4919743109569
圆型 银触点 蓝色带灯 3脚2档(1个),圆形,3,2,https://detail.tmall.com/item.htm?id=41210111230&skuId=4919743109570,带灯,20mm,4919743109570
圆型 银触点 黄色带灯 3脚2档(1个),圆形,3,2,https://detail.tmall.com/item.htm?id=41210111230&skuId=4919743109571,带灯,20mm,4919743109571
白色 圆下方扁体 2脚2档 无灯 铜脚（2个）,扁体,2,2,https://detail.tmall.com/item.htm?id=41210111230&skuId=4919743109694,无灯,20mm,4919743109694
黑色 圆下方扁体 2脚2档 无灯 铜脚（2个）,扁体,2,2,https://detail.tmall.com/item.htm?id=41210111230&skuId=4919743109691,无灯,20mm,4919743109691
红色带灯 圆下方扁体 3脚2档 铜脚（1个）,扁体,3,2,https://detail.tmall.com/item.htm?id=41210111230&skuId=4919743109693,带灯,20mm,4919743109693
红色 圆下方扁体 2脚2档 无灯 铜脚 （2个）,扁体,2,2,https://detail.tmall.com/item.htm?id=41210111230&skuId=4919743109692,无灯,20mm,4919743109692
红色-圆下方扁体透明盖 2脚2档 铜脚 无灯（1个）,扁体,2,2,https://detail.tmall.com/item.htm?id=41210111230&skuId=4919743109704,无灯,20mm,4919743109704
